Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,Database
Weighing the options to reopen schools in Phase 4,,2412773633,Newspapers,"Tyrrell, Joie;Carrera, Catherine",," Copyright Newsday LLC Jun 15, 2020", News," Jun 15, 2020", English, English," Long Island, N.Y.","Jun 15, 2020",Newsday,2020,https://search.proquest.com/docview/2412773633?accountid=37869, 2," Mindfulness , Social distancing , Students , Classrooms , Task forces , Mental health , Coronaviruses , Distance learning , Physical education , COVID-19 , School districts , Long Island New York",,"eLibrary,U.S. Newsstream"
ESSENTIAL VIEWING ON RACIAL JUSTICE: TELEVISION DOCUMENTARIES AND SERIES THAT OFFER VALUABLE INSIGHT,,2412677141,Newspapers,"Gay, Verne"," Amazon.com Inc
334310
454110
518210 , Netflix Inc
512120
518210
532282 , Black Lives Matter
813319"," Copyright Newsday LLC Jun 14, 2020", News," Jun 14, 2020", English, English," Long Island, N.Y.","Jun 14, 2020",Newsday,2020,https://search.proquest.com/docview/2412677141?accountid=37869, 8," Social networks , Parks & recreation areas , Criminal investigations , Racism , Television news , Rape , Spinoffs , Simien, Justin",,"eLibrary,U.S. Newsstream"
Keaton silent classic goes high-tech,,2412677137,Newspapers,"Guzmán, Rafer",," Copyright Newsday LLC Jun 14, 2020", News," Jun 14, 2020", English, English," Long Island, N.Y.","Jun 14, 2020",Newsday,2020,https://search.proquest.com/docview/2412677137?accountid=37869, 24," Boats , Silent films , Keaton, Buster (1895-1966)",,"eLibrary,U.S. Newsstream"
Gov: Redo police or lose funds: Says local gov'ts can tailor plan to their needs,,2412677129,Newspapers,,," Copyright Newsday LLC Jun 14, 2020", News," Jun 14, 2020", English, English," Long Island, N.Y.","Jun 14, 2020",Newsday,2020,https://search.proquest.com/docview/2412677129?accountid=37869, 4," Community , Legislation , Police departments , Reforms , Demonstrations & protests , Floyd, George",,"eLibrary,U.S. Newsstream"
High school seniors named to All-Long Island teams,,2412677111,Newspapers,"Slawson, Andy",," Copyright Newsday LLC Jun 14, 2020", News," Jun 14, 2020", English, English," Long Island, N.Y.","Jun 14, 2020",Newsday,2020,https://search.proquest.com/docview/2412677111?accountid=37869, 30," Children & youth , High school basketball , Fencing , COVID-19 , Volleyball , Shelter Island , Long Island New York",,"eLibrary,U.S. Newsstream"
"Matriarch had strong work ethic, was 'always there to listen'",,2412030519,Newspapers,"Martin, Colleen",," Copyright Newsday LLC Jun 12, 2020", News," Jun 12, 2020", English, English," Long Island, N.Y.","Jun 12, 2020",Newsday,2020,https://search.proquest.com/docview/2412030519?accountid=37869, 14, Work ethic,,"eLibrary,U.S. Newsstream"
"LI ENTERS SECOND PHASE OF REOPENING: CUSTOMERS MAKE CAUTIOUS RETURN TO STORES, OFFICES",,2411441277,Newspapers,," Nike Inc
315220
315240
316210
339920
424340"," Copyright Newsday LLC Jun 11, 2020", News," Jun 11, 2020", English, English," Long Island, N.Y.","Jun 11, 2020",Newsday,2020,https://search.proquest.com/docview/2411441277?accountid=37869, 2," Social distancing , Hair , Breweries , Medical supplies , Pandemics , Customers , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
"How businesses are reopening: Retailers, offices, car dealerships are ready to go",,2410991253,Newspapers,"Schachter, Ken",," Copyright Newsday LLC Jun 10, 2020", News," Jun 10, 2020", English, English," Long Island, N.Y.","Jun 10, 2020",Newsday,2020,https://search.proquest.com/docview/2410991253?accountid=37869, 12," Social distancing , Hair , Salespeople , Coronaviruses , Employees , Shutdowns , Pandemics , Tenants , Retail stores , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
Calendar,,2410182473,Newspapers,"Tabarus, Gina",," Copyright Newsday LLC Jun 7, 2020", News," Jun 7, 2020", English, English," Long Island, N.Y.","Jun 7, 2020",Newsday,2020,https://search.proquest.com/docview/2410182473?accountid=37869, 11," Gardens & gardening , Public libraries , Medicare , Books , Long Island New York",,"eLibrary,U.S. Newsstream"
"Long Island school elections, 2020-2021",,2410180406,Newspapers,,," Copyright Newsday LLC Jun 7, 2020", News," Jun 7, 2020", English, English," Long Island, N.Y.","Jun 7, 2020",Newsday,2020,https://search.proquest.com/docview/2410180406?accountid=37869, 4," Wages & salaries , Budgets , Teachers , School boards , Elections , School districts",,"eLibrary,U.S. Newsstream"
Staying active together online: Internet helps people learn and socialize in pandemic,,2409916470,Newspapers,"Blough, Kay",," Copyright Newsday LLC Jun 7, 2020", News," Jun 7, 2020", English, English," Long Island, N.Y.","Jun 7, 2020",Newsday,2020,https://search.proquest.com/docview/2409916470?accountid=37869, 15," Writers , Citizenship , Librarians , Public libraries , Severe acute respiratory syndrome coronavirus 2 , Video recordings , Coronaviruses , Books , Publishing , Discussion groups , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
BODY CAMERAS TO BE SOUGHT FOR NASSAU POLICE,,2408454507,Newspapers,"Eidler, Scott",," Copyright Newsday LLC Jun 2, 2020", News," Jun 2, 2020", English, English," Long Island, N.Y.","Jun 2, 2020",Newsday,2020,https://search.proquest.com/docview/2408454507?accountid=37869, 16," Cameras , Contract negotiations , Community relations , Law enforcement , Labor contracts , Camcorders , Collective bargaining , Chauvin, Derek , Floyd, George",,"eLibrary,U.S. Newsstream"
EDITORIAL: WAYS TO FUEL ISLAND'S FUTURE,,2407963577,Newspapers,,," Copyright Newsday LLC Jun 1, 2020", News," Jun 1, 2020", English, English," Long Island, N.Y.","Jun 1, 2020",Newsday,2020,https://search.proquest.com/docview/2407963577?accountid=37869, 26," Editorials , Coronaviruses , Pandemics , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
Absentee mix-up delivers confusion,,2407819308,Newspapers,"Polsky, Carol",," Copyright Newsday LLC May 31, 2020", News," May 31, 2020", English, English," Long Island, N.Y.","May 31, 2020",Newsday,2020,https://search.proquest.com/docview/2407819308?accountid=37869, 24," Election results , Voting machines , Registration , Signatures , Nursing homes",,"eLibrary,U.S. Newsstream"
The show goes on: Film historians move from public lectures to online presentations,,2407819295,Newspapers,"Solnik, Claude",," Copyright Newsday LLC May 31, 2020", News," May 31, 2020", English, English," Long Island, N.Y.","May 31, 2020",Newsday,2020,https://search.proquest.com/docview/2407819295?accountid=37869, 17," Presentations , Librarians , Public libraries , Theater , Audiences , Historians , Coronaviruses , Pandemics , COVID-19 , Ball, Lucille , Long Island New York",,"eLibrary,U.S. Newsstream"
Classic shows for the win,,2407819279,Newspapers,"Bubbeo, Daniel",," Copyright Newsday LLC May 31, 2020", News," May 31, 2020", English, English," Long Island, N.Y.","May 31, 2020",Newsday,2020,https://search.proquest.com/docview/2407819279?accountid=37869, 2," Reilly, Charles Nelson , White, Betty",,"eLibrary,U.S. Newsstream"
"Hey golfers, get a grip!: LI inventor Chorne creates training tool to keep hands together at top, bottom",,2407819273,Newspapers,"Williams, Jeff",," Copyright Newsday LLC May 31, 2020", News," May 31, 2020", English, English," Long Island, N.Y.","May 31, 2020",Newsday,2020,https://search.proquest.com/docview/2407819273?accountid=37869, 51," Hands , Professional golf , Fingers & toes",,"eLibrary,U.S. Newsstream"
Boater faces charges in teen's death,,2407507599,Newspapers,"Chayes, Matthew",," Copyright Newsday LLC May 29, 2020", News," May 29, 2020", English, English," Long Island, N.Y.","May 29, 2020",Newsday,2020,https://search.proquest.com/docview/2407507599?accountid=37869, 26," Awards & honors , Murders & murder attempts , Manslaughter , Criminal liability",,"eLibrary,U.S. Newsstream"
Nassau streets plan: Close to help reopen,,2407217992,Newspapers,"Eidler, Scott",," Copyright Newsday LLC May 28, 2020", News," May 28, 2020", English, English," Long Island, N.Y.","May 28, 2020",Newsday,2020,https://search.proquest.com/docview/2407217992?accountid=37869, 3," Outdoors , Pandemics , Roads & highways , COVID-19 , Restaurants",,"eLibrary,U.S. Newsstream"
'Resolve to honor them' ever-present: Memorial Day tributes despite altered traditions,,2406449582,Newspapers,," American Legion
813410 , Department of the Army
928110"," Copyright Newsday LLC May 26, 2020", News," May 26, 2020", English, English," Long Island, N.Y.","May 26, 2020",Newsday,2020,https://search.proquest.com/docview/2406449582?accountid=37869, 4," Parks & recreation areas , Coronaviruses , Armed forces , Memorial Day , COVID-19 , United States--US",,"eLibrary,U.S. Newsstream"
Marcus A. Henry Award past winners: Where are they now?,,2406478098,Newspapers,," Massachusetts Institute of Technology
611310"," Copyright Newsday LLC May 24, 2020", News," May 24, 2020", English, English," Long Island, N.Y.","May 24, 2020",Newsday,2020,https://search.proquest.com/docview/2406478098?accountid=37869, 47," Hurdling , College football , Tournaments & championships , Neurosciences , Appointments & personnel changes , Students , United States--US",,"eLibrary,U.S. Newsstream"
"George, Josephine and Georgie Baltzer of Albertson: 'They had so much love for each other'",,2406477715,Newspapers,"Barker, Barbara",," Copyright Newsday LLC May 24, 2020", News," May 24, 2020", English, English," Long Island, N.Y.","May 24, 2020",Newsday,2020,https://search.proquest.com/docview/2406477715?accountid=37869, 14," Families & family life , Assisted living facilities , Coronaviruses , COVID-19",,"eLibrary,U.S. Newsstream"
"Virus alters summer life in the Hamptons: Businesses, nonprofits try to adapt to restrictions",,2405966012,Newspapers,"Chinese, Vera",," Copyright Newsday LLC May 24, 2020", News," May 24, 2020", English, English," Long Island, N.Y.","May 24, 2020",Newsday,2020,https://search.proquest.com/docview/2405966012?accountid=37869, 12," Fund raising , Web sites , Food , Nonresidents , Celebrities , Hotels & motels , Pandemics , Restaurants , County executives , Coronaviruses , Summer , Museums , Beaches , COVID-19 , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
Take a foodie road trip on Long Island,,2405496274,Newspapers,"Hirsch, Corin;Marcus, Erica;Vogel, Scott",," Copyright Newsday LLC May 21, 2020", News," May 21, 2020", English, English," Long Island, N.Y.","May 21, 2020",Newsday,2020,https://search.proquest.com/docview/2405496274?accountid=37869, 2," Mollusks , Parks & recreation areas , Roads & highways , COVID-19 , England , Nissequogue River , Long Island New York",,"eLibrary,U.S. Newsstream"
"For '60 Minutes,' pandemic's a challenge like no other",,2404252944,Newspapers,DAVID BAUDERAP Media Writer AP Media Writer," CBS News
512110"," Copyright Newsday LLC May 19, 2020", News," May 19, 2020", English, English," Long Island, N.Y.","May 19, 2020",Newsday,2020,https://search.proquest.com/docview/2404252944?accountid=37869, 16," Coronaviruses , Pandemics , COVID-19 , New York City New York , Stahl, Lesley",,"eLibrary,U.S. Newsstream"
Dr. James Mahoney of Freeport: Pulmonologist who sprung into action when the pandemic hit,,2404291131,Newspapers,"Brodsky, Robert",," Copyright Newsday LLC May 18, 2020", News," May 18, 2020", English, English," Long Island, N.Y.","May 18, 2020",Newsday,2020,https://search.proquest.com/docview/2404291131?accountid=37869, 14," Pandemics , Physicians , COVID-19",,"eLibrary,U.S. Newsstream"
Meet the nine finalists for the 2020 Newsday Marcus A. Henry Award.,,2404051420,Newspapers,,," Copyright Newsday LLC May 17, 2020", News," May 17, 2020", English, English," Long Island, N.Y.","May 17, 2020",Newsday,2020,https://search.proquest.com/docview/2404051420?accountid=37869, 53," Fund raising , Football , Students , Hurricanes , Academic achievement , Volleyball , Tournaments & championships , Families & family life , Soccer , High school basketball , Exceptional children , COVID-19 , Mason, Jackie , Long Island New York",,"eLibrary,U.S. Newsstream"
NOTEBOOK: JFK TEAM WINS SPARK! CHALLENGE,,2403616199,Newspapers,"Ebert, Michael R"," Northwell Health
622110"," Copyright Newsday LLC May 17, 2020", News," May 17, 2020", English, English," Long Island, N.Y.","May 17, 2020",Newsday,2020,https://search.proquest.com/docview/2403616199?accountid=37869, 14," Students , Contests , Secondary schools , Art exhibits , COVID-19 , Kennedy, John Fitzgerald (1917-1963) , Long Island New York",,"eLibrary,U.S. Newsstream"
NOTEBOOK: JFK TEAM WINS SPARK! CHALLENGE,,2403616158,Newspapers,"Ebert, Michael R"," Northwell Health
622110 , Lexus
336111"," Copyright Newsday LLC May 17, 2020", News," May 17, 2020", English, English," Long Island, N.Y.","May 17, 2020",Newsday,2020,https://search.proquest.com/docview/2403616158?accountid=37869, 15," Students , Contests , Secondary schools , COVID-19 , Kennedy, John Fitzgerald (1917-1963)",,"eLibrary,U.S. Newsstream"
HEMPSTEAD TOWN: PAVING THE WAY: OFFICIALS EYE JOB CREATION AS THEY EARMARK $40M THIS YEAR FOR ROAD PROJECTS,,2402255352,Newspapers,"Asbury, John",," Copyright Newsday LLC May 14, 2020", News," May 14, 2020", English, English," Long Island, N.Y.","May 14, 2020",Newsday,2020,https://search.proquest.com/docview/2402255352?accountid=37869, 21," Highway construction , Water mains , Funding , Employment , Pandemics , Roads & highways , COVID-19",,"eLibrary,U.S. Newsstream"
TOP 100,,2401566637,Newspapers,"Boell, John;Fessenden, Nick",," Copyright Newsday LLC May 13, 2020", News," May 13, 2020", English, English," Long Island, N.Y.","May 13, 2020",Newsday,2020,https://search.proquest.com/docview/2401566637?accountid=37869, 37," Tournaments & championships , Objectives , Long Island New York",,"eLibrary,U.S. Newsstream"
Greetings from local legends: At a loss for a cool gift? Order a personalized Cameo video greeting.,,2400900482,Newspapers,"Criblez, David J",," Copyright Newsday LLC May 12, 2020", News," May 12, 2020", English, English," Long Island, N.Y.","May 12, 2020",Newsday,2020,https://search.proquest.com/docview/2400900482?accountid=37869, 2," Comedians , Celebrities , Birthdays , Coronaviruses , Gaming machines , COVID-19 , Quarantine , Stern, Howard , Cousteau, Jacques",,"eLibrary,U.S. Newsstream"
"Peter Willie of Freeport: Former NYPD officer was 'strict, but very loving' father",,2401682682,Newspapers,"Stephenson, Colin"," Police Department-New York City NY
922120"," Copyright Newsday LLC May 11, 2020", News," May 11, 2020", English, English," Long Island, N.Y.","May 11, 2020",Newsday,2020,https://search.proquest.com/docview/2401682682?accountid=37869, 12, North Carolina,,"eLibrary,U.S. Newsstream"
NOTEBOOK: HICKSVILLE JUNIOR WINS ART CONTEST,,2400155715,Newspapers,"Ebert, Michael R",," Copyright Newsday LLC May 10, 2020", News," May 10, 2020", English, English," Long Island, N.Y.","May 10, 2020",Newsday,2020,https://search.proquest.com/docview/2400155715?accountid=37869, 14," Art galleries & museums , Appointments & personnel changes , Students , Middle schools , Secondary schools , School principals , COVID-19 , Music education , School districts , Painting , Lopez, Stephanie , Long Island New York",,"eLibrary,U.S. Newsstream"
NOTEBOOK: HICKSVILLE JUNIOR WINS ART CONTEST,,2400155679,Newspapers,"Ebert, Michael R",," Copyright Newsday LLC May 10, 2020", News," May 10, 2020", English, English," Long Island, N.Y.","May 10, 2020",Newsday,2020,https://search.proquest.com/docview/2400155679?accountid=37869, 13," Art galleries & museums , Students , Teams , Dance , Awards & honors , Middle schools , Coronaviruses , Secondary schools , Music education , School districts , COVID-19 , Painting , Lopez, Stephanie , Long Island New York",,"eLibrary,U.S. Newsstream"
"Carmelia Cafaro of North Babylon: Devoted mom, schoolteacher",,2399740399,Newspapers,"Rieber, Anthony",," Copyright Newsday LLC May 6, 2020", News," May 6, 2020", English, English," Long Island, N.Y.","May 6, 2020",Newsday,2020,https://search.proquest.com/docview/2399740399?accountid=37869, 12,,,"eLibrary,U.S. Newsstream"
HEMPSTEAD TOWN: TOWN AWARDS $2M FOR POP-UP FOOD BANKS,,2398429545,Newspapers,"Asbury, John"," Long Island Cares
624210
624310"," Copyright Newsday LLC May 6, 2020", News," May 6, 2020", English, English," Long Island, N.Y.","May 6, 2020",Newsday,2020,https://search.proquest.com/docview/2398429545?accountid=37869, 25," Food programs , Coronaviruses , Funding , Pandemics , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
"Businesses re-evaluate: Amid COVID-19, some wonder how, or if, self-employment will endure",,2398429527,Newspapers,"Ortiz, Keldy"," Long Island Rail Road
485999"," Copyright Newsday LLC May 6, 2020", News," May 6, 2020", English, English," Long Island, N.Y.","May 6, 2020",Newsday,2020,https://search.proquest.com/docview/2398429527?accountid=37869, 21," Families & family life , Social distancing , Small business loans , Presidents , Bars , Coronaviruses , Coronavirus Aid Relief & Economic Security Act 2020-US , Pandemics , COVID-19 , Restaurants , Long Island New York",,"eLibrary,U.S. Newsstream"
Ways LIers repurposed their mom's wedding dress: LI brides have taken 'something borrowed' to a new level,,2397452883,Newspapers,"Irizarry, Lisa",," Copyright Newsday LLC May 4, 2020", News," May 4, 2020", English, English," Long Island, N.Y.","May 4, 2020",Newsday,2020,https://search.proquest.com/docview/2397452883?accountid=37869, 4," Clothing , Families & family life , Weddings , Marriage , Awards & honors , Long Island New York",,"eLibrary,U.S. Newsstream"
Everybody loves more LI-related questions: Bonus: Do you remember all the Island connections from these four TV shows?,,2397287227,Newspapers,"Edelstein, Andy;Gay, Verne",," Copyright Newsday LLC May 3, 2020", News," May 3, 2020", English, English," Long Island, N.Y.","May 3, 2020",Newsday,2020,https://search.proquest.com/docview/2397287227?accountid=37869, 8," Garrett, Brad , Romano, Ray , James, Kevin , Long Island New York , Boyle, Peter",,"eLibrary,U.S. Newsstream"
Lesson 1: Changing how we fund schools,,2397287218,Newspapers,,," Copyright Newsday LLC May 3, 2020", News," May 3, 2020", English, English," Long Island, N.Y.","May 3, 2020",Newsday,2020,https://search.proquest.com/docview/2397287218?accountid=37869, 43, School districts,,"eLibrary,U.S. Newsstream"
MLB FINALLY GIVES OK FOR TEAMS TO ISSUE REFUNDS: METS AND YANKS ALLOWED TO UPDATE TICKET POLICY TODAY,,2395469462,Newspapers,"Healey, Tim",," Copyright Newsday LLC Apr 29, 2020", News," Apr 29, 2020", English, English," Long Island, N.Y.","Apr 29, 2020",Newsday,2020,https://search.proquest.com/docview/2395469462?accountid=37869, 42," Teams , Pandemics , Refunds , COVID-19 , Arizona",,"eLibrary,U.S. Newsstream"
"An ode to sangria, a drink for all time",,2394644608,Newspapers,"Bruning, Fred",," Copyright Newsday LLC Apr 26, 2020", News," Apr 26, 2020", English, English," Long Island, N.Y.","Apr 26, 2020",Newsday,2020,https://search.proquest.com/docview/2394644608?accountid=37869, 17,,,"eLibrary,U.S. Newsstream"
Letters,,2393552885,Newspapers,,," Copyright Newsday LLC Apr 23, 2020", News," Apr 23, 2020", English, English," Long Island, N.Y.","Apr 23, 2020",Newsday,2020,https://search.proquest.com/docview/2393552885?accountid=37869, 26," Unemployment , Censuses , Medical supplies , Coronaviruses , Pandemics , COVID-19",,"eLibrary,U.S. Newsstream"
Virus a threat to retirement pay: Going on fewer calls could lessen firefighters' perks,,2392906107,Newspapers,"Phillips, Ted",," Copyright Newsday LLC Apr 22, 2020", News," Apr 22, 2020", English, English," Long Island, N.Y.","Apr 22, 2020",Newsday,2020,https://search.proquest.com/docview/2392906107?accountid=37869, 14," Meetings , Fires , Fire departments , Coronaviruses , Retirement benefits , Volunteers , Pandemics , COVID-19 , New York",,"eLibrary,U.S. Newsstream"
"For some at Coliseum, no aid: Outside cashiers say they're not treated fairly",,2391796495,Newspapers,"Baumbach, Jim"," Skype Technologies SA
511210"," Copyright Newsday LLC Apr 20, 2020", News," Apr 20, 2020", English, English," Long Island, N.Y.","Apr 20, 2020",Newsday,2020,https://search.proquest.com/docview/2391796495?accountid=37869, 15," Employees , Workers , COVID-19",,"eLibrary,U.S. Newsstream"
LOVE STORY: A SOFTBALL GAME MADE THEM WINNERS FOR LIFE,,2391266737,Newspapers,,," Copyright Newsday LLC Apr 19, 2020", News," Apr 19, 2020", English, English," Long Island, N.Y.","Apr 19, 2020",Newsday,2020,https://search.proquest.com/docview/2391266737?accountid=37869, 10," Marriage , COVID-19",,"eLibrary,U.S. Newsstream"
Rich Alino: Westbury resident was a smiling face on Long Island's nightlife scene,,2390574493,Newspapers,"Stark, Ian J",," Copyright Newsday LLC Apr 17, 2020", News," Apr 17, 2020", English, English," Long Island, N.Y.","Apr 17, 2020",Newsday,2020,https://search.proquest.com/docview/2390574493?accountid=37869, 14," Medical research , Long Island New York",,"eLibrary,U.S. Newsstream"
"Pandemic skews LIRR ridership, on-time data",,2389119023,Newspapers,"Castillo, Alfonso A",," Copyright Newsday LLC Apr 14, 2020", News," Apr 14, 2020", English, English," Long Island, N.Y.","Apr 14, 2020",Newsday,2020,https://search.proquest.com/docview/2389119023?accountid=37869, 12," Customer services , Coronaviruses , Pandemics , Customer satisfaction , COVID-19",,"eLibrary,U.S. Newsstream"
Baldwin shares pic looking visibly pregnant,,2388672197,Newspapers,"Lovece, Frank",," Copyright Newsday LLC Apr 13, 2020", News," Apr 13, 2020", English, English," Long Island, N.Y.","Apr 13, 2020",Newsday,2020,https://search.proquest.com/docview/2388672197?accountid=37869, 17," Baldwin, Hilaria",,"eLibrary,U.S. Newsstream"
STAYING IN THE GAME: SELF-ISOLATION HAS MOVED SOCIAL CIRCLES TO GO ONLINE TO PLAY,,2388413441,Newspapers,"Solnik, Claude",," Copyright Newsday LLC Apr 12, 2020", News," Apr 12, 2020", English, English," Long Island, N.Y.","Apr 12, 2020",Newsday,2020,https://search.proquest.com/docview/2388413441?accountid=37869, 15," Teaching , Baby boomers , Coronaviruses , Games , Pandemics , COVID-19",,"eLibrary,U.S. Newsstream"
