Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,Database
"Baldwin man sold drugs, counterfeit $20 bills, police say",,1863461603,Newspapers,"Irizarry, Lisa",," (Copyright Newsday Inc., 2017)", News," Jan 31, 2017", English, English," Long Island, N.Y.","Jan 31, 2017",Newsday,2017,https://search.proquest.com/docview/1863461603?accountid=37869, n/a," Cocaine , Arrests , Criminal investigations , Counterfeiting",,"eLibrary,U.S. Newsstream"
Hempstead town gets grant to revitalize downtown Baldwin,"  The total $53 million project calls for 25,000 square feet of ground-floor retail space and about 140 apartments units to be built from 2408 to 2416 Grand Ave., north of Merrick Road.",1862049041,Newspapers,"Asbury, John",," (Copyright Newsday Inc., 2017)", News," Jan 27, 2017", English, English," Long Island, N.Y.","Jan 27, 2017",Newsday,2017,https://search.proquest.com/docview/1862049041?accountid=37869, n/a," Redevelopment , Mixed use developments",,"eLibrary,U.S. Newsstream"
"Nassau police: Man on Baldwin street beaten, robbed",,1861774534,Newspapers,"Murphy, William",," (Copyright Newsday Inc., 2017)", News," Jan 26, 2017", English, English," Long Island, N.Y.","Jan 26, 2017",Newsday,2017,https://search.proquest.com/docview/1861774534?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Athlete of the Week is Baldwin's Aziah Hudson,"  The junior scored 14 points in the game, giving her 1,151 and breaking the previous record of 1,137 set by current East Rockaway girls basketball coach Karin Leary (formerly Byrnes) from 1986-1989.",1859742418,Newspapers,"DeJohn, Kenny",," (Copyright Newsday Inc., 2017)", News," Jan 19, 2017", English, English," Long Island, N.Y.","Jan 19, 2017",Newsday,2017,https://search.proquest.com/docview/1859742418?accountid=37869, n/a," High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
Elijah Bovell's 22 points help Baldwin top Harborfields,"  The Tornadoes forced several turnovers with an all-court press and crashed the offensive boards to score 11 straight points, nine by Alex Merhige (15 points) to cut the deficit to 47-39 with a minute left.",1858393648,Newspapers,"Herzog, Bob",," (Copyright Newsday Inc., 2017)", News," Jan 15, 2017", English, English," Long Island, N.Y.","Jan 15, 2017",Newsday,2017,https://search.proquest.com/docview/1858393648?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Barbara Haber, 89, educator, librarian, author, of Baldwin dies","  After developing a connection with a publisher of coffee table books, she wrote three: ""The National Air and Space Museum,"" ""Washington"" and ""Pennsylvania,"" all published by Smithmark Publishers Inc. In addition to her husband and Coffey, survivors include daughter Holly A. Haber, of Dallas, son-in-law Thomas Coffey, of Manhattan, granddaughter Skyler Coffey, of Manhattan, and grandson Dashiell Pashley, of Dallas.",1857997071,Newspapers,"Irizarry, Lisa",," (Copyright Newsday Inc., 2017)", News," Jan 13, 2017", English, English," Long Island, N.Y.","Jan 13, 2017",Newsday,2017,https://search.proquest.com/docview/1857997071?accountid=37869, n/a," Librarians , Secondary schools , Pennsylvania , Lebanon",,"eLibrary,U.S. Newsstream"
"Baldwin man charged with stealing packages, cops say","  According to detectives, First Precinct patrol officers who had been assigned to investigate a possible traffic hazard noticed Philbert sitting in his car at Prince Street and Schuman Place.",1854568911,Newspapers,"Tyrrell, Joie",," (Copyright Newsday Inc., 2017)", News," Jan 2, 2017", English, English," Long Island, N.Y.","Jan 2, 2017",Newsday,2017,https://search.proquest.com/docview/1854568911?accountid=37869, n/a," Criminal investigations , Marijuana",,"eLibrary,U.S. Newsstream"
"'Taxi driver' holds up Baldwin woman, police say","  A Baldwin woman was robbed by a gunman who she had thought was a taxi driver and who she had let her drive her home from work on Saturday morning, Nassau County police said.",1849830691,Newspapers,"Asbury, John",," (Copyright Newsday Inc., 2016)", News," Dec 18, 2016", English, English," Long Island, N.Y.","Dec 18, 2016",Newsday,2016,https://search.proquest.com/docview/1849830691?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Elijah Bovell to Derrick Ruffin a good team for Baldwin,"  ""Just a broken play, but I saw Derrick was wide open and I passed him the ball,"" said Bovell, who led Baldwin in its season opener with 22 points.",1845496467,Newspapers,"Herzog, Bob",," (Copyright Newsday Inc., 2016)", News," Dec 4, 2016", English, English," Long Island, N.Y.","Dec 4, 2016",Newsday,2016,https://search.proquest.com/docview/1845496467?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Elijah Bovell to Derrick Ruffin a good team for Baldwin,"  ""Just a broken play, but I saw Derrick was wide open and I passed him the ball,"" said Bovell, who led Baldwin in its season opener with 22 points.",1845496271,Newspapers,"Herzog, Bob",," (Copyright Newsday Inc., 2016)", News," Dec 4, 2016", English, English," Long Island, N.Y.","Dec 4, 2016",Newsday,2016,https://search.proquest.com/docview/1845496271?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Raphael D. Oyague arraigned in Baldwin killing, police say",  [...]court records show a bench warrant had been issued for Oyague on a third-degree misdemeanor assault charge stemming from an August 2012 incident in which papers say he tackled a woman who identified herself in a deposition as his girlfriend.,1844390873,Newspapers,"Uda, Rachel;Olson, David",," (Copyright Newsday Inc., 2016)", News," Nov 25, 2016", English, English," Long Island, N.Y.","Nov 25, 2016",Newsday,2016,https://search.proquest.com/docview/1844390873?accountid=37869, n/a," Human remains , Criminal investigations , Murders & murder attempts , Arrests",,"eLibrary,U.S. Newsstream"
"John DeBique, Matt Washington power Baldwin over East Meadow",  Running backs John DeBique and Matt Washington provided all the power and speed the Bruins needed to outlast host East Meadow in a muddy Nassau I football game on Saturday.,1830991273,Newspapers,"DeJohn, Kenny",," (Copyright Newsday Inc., 2016)", News," Oct 23, 2016", English, English," Long Island, N.Y.","Oct 23, 2016",Newsday,2016,https://search.proquest.com/docview/1830991273?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Baldwin doctor sentenced for illegal painkiller prescriptions, AG says","  In May 2015, Persaud pleaded guilty to criminal sale of prescriptions for a controlled substance and fourth-degree criminal tax fraud, the attorney general said.",1830610893,Newspapers,"Hampton, Deon J",," (Copyright Newsday Inc., 2016)", News," Oct 21, 2016", English, English," Long Island, N.Y.","Oct 21, 2016",Newsday,2016,https://search.proquest.com/docview/1830610893?accountid=37869, n/a," Attorneys general , Tax returns , Patients , Prescriptions",,"eLibrary,U.S. Newsstream"
Police: Masked suspect sought in Baldwin store robbery,"  Police said the suspect, shown in a surveillance photo wearing a baseball cap, glasses and his lower face partially masked, entered the store, displayed a black handgun - and demanded cash.",1828108244,Newspapers,"Valenti, John",," (Copyright Newsday Inc., 2016)", News," Oct 13, 2016", English, English," Long Island, N.Y.","Oct 13, 2016",Newsday,2016,https://search.proquest.com/docview/1828108244?accountid=37869, n/a, Robbery,,"eLibrary,U.S. Newsstream"
Calvin Pryor to appeal $24G fine for hit on Doug Baldwin,  [...]the flag he drew for unnecessary roughness against the Seahawks was the first in two-plus seasons in the NFL. Pryor said the NFL informed him that he was fined for hitting Baldwin above the neck and shoulder area.,1826083536,Newspapers,"Glauber, Bob"," National Football League--NFL
813990
711211"," (Copyright Newsday Inc., 2016)", News," Oct 6, 2016", English, English," Long Island, N.Y.","Oct 6, 2016",Newsday,2016,https://search.proquest.com/docview/1826083536?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Baldwin's Trump, McKinnon's Clinton start SNL season","  [...]that curious moment during the real debate, when the real Trump said he had told Fox News' Sean Hannity that he was against the war in Iraq?",1824955925,Newspapers,"Gay, Verne",," (Copyright Newsday Inc., 2016)", News," Oct 2, 2016", English, English," Long Island, N.Y.","Oct 2, 2016",Newsday,2016,https://search.proquest.com/docview/1824955925?accountid=37869, n/a," Presidents , Hannity, Sean",,"eLibrary,U.S. Newsstream"
"Specht, Wong goals lift Baldwin to victory","  For the Baldwin field hockey team, that reflection came on a 10-mile bus ride home after a tough five-goal, loss at Massapequa on Monday.",1824163134,Newspapers,"Boell, John",," (Copyright Newsday Inc., 2016)", News," Sep 29, 2016", English, English," Long Island, N.Y.","Sep 29, 2016",Newsday,2016,https://search.proquest.com/docview/1824163134?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Coalhouse Grill review: Rustic Jamaican food in Baldwin,"  The twice-cooked braised oxtail, having spent enough time on the heat to breakdown the tough connective tissue, was silky and flavorful in a sauce of carrots, butter beans, tomato pastes, hot peppers and butter.",1836704321,Newspapers,"Vaglica, Sal",," (Copyright Newsday Inc., 2016)", News," Sep 15, 2016", English, English," Long Island, N.Y.","Sep 15, 2016",Newsday,2016,https://search.proquest.com/docview/1836704321?accountid=37869, n/a," Restaurants , Pork , Jamaica",,"eLibrary,U.S. Newsstream"
Orbera balloon system helps Baldwin nurse lose weight,"  [...]her body accepted the balloon, she had nausea and drank only clear liquids.",1814847246,Newspapers,"Donahue-Smukler, Ann",," (Copyright Newsday Inc., 2016)", News," Aug 30, 2016", English, English," Long Island, N.Y.","Aug 30, 2016",Newsday,2016,https://search.proquest.com/docview/1814847246?accountid=37869, n/a," Gastrointestinal surgery , Insurance policies",,"eLibrary,U.S. Newsstream"
FASNY names Baldwin man 2016 firefighter of the year,"  Kopf's son, Kevin, 17, along with about a dozen volunteer firefighters from Baldwin Fire Department's Ladder 2 Company, are expected to attend the award presentation ceremony in Albany at The Desmond Hotel.",1811048866,Newspapers,"Tyrrell, Joie",," (Copyright Newsday Inc., 2016)", News," Aug 13, 2016", English, English," Long Island, N.Y.","Aug 13, 2016",Newsday,2016,https://search.proquest.com/docview/1811048866?accountid=37869, n/a," Fires , Awards & honors , Fire stations , Firefighters",,"eLibrary,U.S. Newsstream"
Alec Baldwin backs East Hampton water-improvement plan,"  Baldwin, who owns a vacation home in Amagansett, made a surprise appearance Thursday at a public hearing of the town board, which focused on a proposed law that would extend the fund's 2 percent real estate transfer tax by two decades, to the year 2050, and allow 20 percent to be used for water-quality protection projects.",1809567859,Newspapers,"Irizarry, Lisa",," (Copyright Newsday Inc., 2016)", News," Aug 8, 2016", English, English," Long Island, N.Y.","Aug 8, 2016",Newsday,2016,https://search.proquest.com/docview/1809567859?accountid=37869, n/a," Water quality , Public hearings",,"eLibrary,U.S. Newsstream"
Alec Baldwin backs East Hampton water-improvement plan,  Baldwin made his comments during the first town board public hearing on a proposal that would extend the Community Preservation Fund's 2 percent real estate transfer tax by 20 years to 2050 and allow 20 percent to be used for water-quality projects.,1809008037,Newspapers,"Irizarry, Lisa",," (Copyright Newsday Inc., 2016)", News," Aug 5, 2016", English, English," Long Island, N.Y.","Aug 5, 2016",Newsday,2016,https://search.proquest.com/docview/1809008037?accountid=37869, n/a, Water quality,,"eLibrary,U.S. Newsstream"
"Woman stole UPS packages on Baldwin doorstep, police say",,1805441471,Newspapers,"Dymski, Gary",," (Copyright Newsday Inc., 2016)", News," Jul 20, 2016", English, English," Long Island, N.Y.","Jul 20, 2016",Newsday,2016,https://search.proquest.com/docview/1805441471?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Baldwin man stole electronics, wrestling belt, police say",,1804592063,Newspapers,"Simon, Darran",," (Copyright Newsday Inc., 2016)", News," Jul 17, 2016", English, English," Long Island, N.Y.","Jul 17, 2016",Newsday,2016,https://search.proquest.com/docview/1804592063?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Baldwin teen reported missing, Nassau police say",,1802404142,Newspapers,"Valenti, John",," (Copyright Newsday Inc., 2016)", News," Jul 8, 2016", English, English," Long Island, N.Y.","Jul 8, 2016",Newsday,2016,https://search.proquest.com/docview/1802404142?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Why you should buy my house: A Baldwin Cape,  There's a wood-burning fireplace in the living room.,1799140239,Newspapers,"Donahue-Smukler, Ann",," (Copyright Newsday Inc., 2016)", News," Jun 24, 2016", English, English," Long Island, N.Y.","Jun 24, 2016",Newsday,2016,https://search.proquest.com/docview/1799140239?accountid=37869, n/a, Fireplaces,,"eLibrary,U.S. Newsstream"
"Baldwin shooting leaves man in critical condition, police say",,1799039333,Newspapers,"Dymski, Gary",," (Copyright Newsday Inc., 2016)", News," Jun 15, 2016", English, English," Long Island, N.Y.","Jun 15, 2016",Newsday,2016,https://search.proquest.com/docview/1799039333?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Baldwin High School students paint murals for area hospice,"  The mural project began in late April after the students finished their AP art curriculum, their art teacher Michelle Liemer-Kelly said.",1798985153,Newspapers,"Williams, Bailey",," (Copyright Newsday Inc., 2016)", News," Jun 15, 2016", English, English," Long Island, N.Y.","Jun 15, 2016",Newsday,2016,https://search.proquest.com/docview/1798985153?accountid=37869, n/a," Murals , Students , Hospice care , Secondary schools",,"eLibrary,U.S. Newsstream"
Baldwin High's embattled new principal meets with parents,"  Baldwin High's 2014-15 school report card from the state Education Department shows it scored a 94 percent graduation rate, well above the state's 80 percent standard, with 91 percent of its high school graduates enrolling in two- or four-year colleges.",1794726962,Newspapers,"Ramos, Victor Manuel",," (Copyright Newsday Inc., 2016)", News," Jun 9, 2016", English, English," Long Island, N.Y.","Jun 9, 2016",Newsday,2016,https://search.proquest.com/docview/1794726962?accountid=37869, n/a," School principals , School districts , Education , Petitions , Secondary schools , Community colleges , Leadership",,"eLibrary,U.S. Newsstream"
"Baldwin woman, 72, missing, in poor health, police say",,1788168384,Newspapers,"Blasey, Laura",," (Copyright Newsday Inc., 2016)", News," May 12, 2016", English, English," Long Island, N.Y.","May 12, 2016",Newsday,2016,https://search.proquest.com/docview/1788168384?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Baldwin, Lakeview robberies may be related, Nassau cops say",  Nassau County police are trying to determine whether the same two masked men are responsible for armed robberies late Thursday of a Baldwin delicatessen and a Lakeview takeout restaurant.,1781305219,Newspapers,"Dymski, Gary",," (Copyright Newsday Inc., 2016)", News," Apr 16, 2016", English, English," Long Island, N.Y.","Apr 16, 2016",Newsday,2016,https://search.proquest.com/docview/1781305219?accountid=37869, n/a," Robbery , Firearm laws & regulations",,"eLibrary,U.S. Newsstream"
Disbarred Baldwin attorney Janice Jessup gets to 3 to 9 years,  The judge also responded to a complaint Thursday about Jessup allegedly getting poor medical care at Nassau's jail while suffering from conditions including diabetes and coronary artery disease.,1779340960,Newspapers,"Murphy, Bridget",," (Copyright Newsday Inc., 2016)", News," Apr 8, 2016", English, English," Long Island, N.Y.","Apr 8, 2016",Newsday,2016,https://search.proquest.com/docview/1779340960?accountid=37869, n/a," District attorneys , Cardiovascular disease , Criminal sentences , Professional misconduct",,"eLibrary,U.S. Newsstream"
Baldwin volleyball coach Luis Sepulveda to also guide Pratt,"  The Baldwin girls volleyball coach has been hired as Pratt Institute's women's volleyball coach, according to a news release from the school, but also said he plans to stay in his current role with the Bruins.",1776260572,Newspapers,"DeJohn, Kenny",," (Copyright Newsday Inc., 2016)", News," Mar 29, 2016", English, English," Long Island, N.Y.","Mar 29, 2016",Newsday,2016,https://search.proquest.com/docview/1776260572?accountid=37869, n/a," Athletic directors , Volleyball",,"eLibrary,U.S. Newsstream"
"Baldwin Subway store robbed by knife-wielding man, cops say","  Nassau detectives said the suspect was described as about 5 feet 11 inches tall, of medium build and unknown race, clad in a tan hooded jacket and dark partial face mask.",1776041602,Newspapers,"Chung, Christine",," (Copyright Newsday Inc., 2016)", News," Mar 28, 2016", English, English," Long Island, N.Y.","Mar 28, 2016",Newsday,2016,https://search.proquest.com/docview/1776041602?accountid=37869, n/a, Robbery,,"eLibrary,U.S. Newsstream"
"Baldwin man charged in Hempstead stabbing outside bar, cops say",  Police found Mendez-Ramos in Oceanside and placed him under arrest at 4:07 a.m. Mendez-Ramos was charged with first-degree assault and fourth-degree possession of a dangerous weapon.,1771677094,Newspapers,"Blasey, Laura",," (Copyright Newsday Inc., 2016)", News," Mar 10, 2016", English, English," Long Island, N.Y.","Mar 10, 2016",Newsday,2016,https://search.proquest.com/docview/1771677094?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Alec Baldwin and wife Hilaria expecting third child together,"  ""Ireland, Carmen, Rafael, Alec, and I are excited to share with you that we are going to have another addition to our family,"" Hilaria Baldwin posted on social media, referring to the couple's children Carmen, 2, and Rafael, 8 months, and Alec Baldwin's daughter Ireland, 20, with ex-wife Kim Basinger.",1771676868,Newspapers,"Lovece, Frank",," (Copyright Newsday Inc., 2016)", News," Mar 10, 2016", English, English," Long Island, N.Y.","Mar 10, 2016",Newsday,2016,https://search.proquest.com/docview/1771676868?accountid=37869, n/a," Yoga , Baldwin, Alec",,"eLibrary,U.S. Newsstream"
"Baldwin man assaulted, robbed in his home, police say","  Note: Quotes: Two armed men pushed their way into a home in Baldwin late Monday night, fighting with the 29-year-old victim and stealing his wallet, credit cards and identification card before fleeing.",1765511781,Newspapers,"Valenti, John",," (Copyright Newsday Inc., 2016)", News," Feb 17, 2016", English, English," Long Island, N.Y.","Feb 17, 2016",Newsday,2016,https://search.proquest.com/docview/1765511781?accountid=37869, n/a, Robbery,,"eLibrary,U.S. Newsstream"
Alec Baldwin films commercial opposing East Quogue golf resort,"  Wayne Bruyn, a Southampton attorney representing the developer, said The Hills proposal is preferable to the 82 single-family homes that could be built on the site without special approval from the town board, which he said would have a much larger impact on East Quogue's school.",1760715430,Newspapers,"Will, James"," Discovery Land Co
237210"," (Copyright Newsday Inc., 2016)", News," Jan 28, 2016", English, English," Long Island, N.Y.","Jan 28, 2016",Newsday,2016,https://search.proquest.com/docview/1760715430?accountid=37869, n/a,," EAST QUOGUE,SOUTHAMPTON","eLibrary,U.S. Newsstream"
Shane Gatling scores 23 as Baldwin beats Deer Park,"  Baldwin outscored Deer Park 16-4 in the second quarter to build a 30-22 halftime lead and made it a 13-0 run by scoring the first six points of the third quarter, including a lefty reverse layup in transition by Gatling and a step-back jumper after a steal by Rhoden.",1755542889,Newspapers,"Herzog, Bob",," (Copyright Newsday Inc., 2016)", News," Jan 11, 2016", English, English," Long Island, N.Y.","Jan 11, 2016",Newsday,2016,https://search.proquest.com/docview/1755542889?accountid=37869, n/a," Athletes , Long Island New York"," High School Boys Basketball,BALDWIN,DEER PARK","eLibrary,U.S. Newsstream"
Hills West beats Holy Trinity at Baldwin Holiday Tournament,"  The Colts (4-0) rode Dalyrimple to a 16-2 lead with 1:23 left in the first quarter, but Holy Trinity (4-2) extended its pressure and cut the gap to 31-26 at halftime.",1752156295,Newspapers,"Kramer, Ari"," National Basketball Association
813990"," (Copyright Newsday Inc., 2015)", News," Dec 29, 2015", English, English," Long Island, N.Y.","Dec 29, 2015",Newsday,2015,https://search.proquest.com/docview/1752156295?accountid=37869, n/a," Professional basketball , Athletes , Tournaments & championships"," High School Boys Basketball,BALDWIN,DIX HILLS","eLibrary,U.S. Newsstream"
Hills West beats Holy Trinity at Baldwin Holiday Tournament,,1752156229,Newspapers,"Kramer, Ari",," (Copyright Newsday Inc., 2015)", News," Dec 29, 2015", English, English," Long Island, N.Y.","Dec 29, 2015",Newsday,2015,https://search.proquest.com/docview/1752156229?accountid=37869, n/a,," High School Boys Basketball,BALDWIN,DIX HILLS","eLibrary,U.S. Newsstream"
"Sunrise Highway reopens in Baldwin after crash, cops say",,1738325274,Newspapers,"Dymski, Gary",," (Copyright Newsday Inc., 2015)", News," Dec 2, 2015", English, English," Long Island, N.Y.","Dec 2, 2015",Newsday,2015,https://search.proquest.com/docview/1738325274?accountid=37869, n/a,," Nassau,BALDWIN","eLibrary,U.S. Newsstream"
"NASSAU I: DeBique, Henry lead Baldwin to win",  John DeBique rushed for 85 yards and two touchdowns on 12 carries to lead Baldwin to a 28-19 win over Hempstead yesterday in Nassau I. Matt Henry started the scoring by returning a punt 80 yards for a touchdown in the first quarter.,1728492969,Newspapers,,," (Copyright Newsday Inc., 2015)", News," Nov 1, 2015", English, English," Long Island, N.Y.","Nov 1, 2015",Newsday,2015,https://search.proquest.com/docview/1728492969?accountid=37869, B.8," Professional football , Athletes",,"eLibrary,U.S. Newsstream"
movie buzz: BALDWIN IS 'BLIND' | Chastain in Resistance drama,"  WHO Alec Baldwin THE MOVIE ""Blind"" THE DEAL The Massapequa-raised actor will star opposite Demi Moore in a new independent film, according to Deadline.com.",1724844521,Newspapers,"Guzman, Rafer",," (Copyright Newsday Inc., 2015)", News," Oct 22, 2015", English, English," Long Island, N.Y.","Oct 22, 2015",Newsday,2015,https://search.proquest.com/docview/1724844521?accountid=37869, B.11," Actors , Domestic violence , Motion picture directors & producers",,"eLibrary,U.S. Newsstream"
Baldwins announce 2nd child,"  Amityville-born Alec Baldwin, who was raised in the Nassau Shores neighborhood of Massapequa, met his future wife in 2011 at the Manhattan vegan restaurant Pure Food and Wine.",1689509799,Newspapers,"LOVECE, FRANK",," (Copyright Newsday Inc., 2015)", News," Jun 18, 2015", English, English," Long Island, N.Y.","Jun 18, 2015",Newsday,2015,https://search.proquest.com/docview/1689509799?accountid=37869, A.22," Celebrities , Actors , Social networks , Baldwin, Alec",,"eLibrary,U.S. Newsstream"